init_choiceA,init_choiceB,init_choiceC,init_choiceD,init_time,adjusted_choiceA,adjusted_choiceB,adjusted_choiceC,adjusted_choiceD,adjusted_time,question_num,question,optionA,optionB,optionC,optionD,correct_answer,justification,advice_answer,topic,participant_id,source,advisor,give_justification,score,major,time,usage_description,heard_of,used,used_in_class,answered_mc,weight_on_advice,fam_topic,topic_familiarity,net_familiarity,uncomfortable,neutral,comfortable,usage_level,question_group,question_id,advice_is_correct,last_advice_is_correct,correct_advice_count,incorrect_advice_count,init_advice_confidence,advice_confidence
0.0,1.0,0.0,0.0,15.417,0.0,1.0,0.0,0.0,13.37,1,"In Python 3, let r = lambda q: q * 2. What is r(3)?",2,6,3,1,B,"

r is a lambda function that takes in a parameter q and multiplies it by 2. 

So, when we pass in 3 as the parameter, the lambda function will multiply 3 by 2, giving us 6. 

Therefore, the correct answer is (B) 6.",B,high_school_computer_science,R_2R8QPUIADEFVI7s,rpp,AI chatbot,no,-3146.0,"Computer Science, Business Administration",1183,,1,1,0,0,0.0,Computer Science,Neutral,0,0,1,0,2,"(0, 5]",6786974661518615615,1,0.0,0.0,0.0,1.0,1.0
0.10204081632653061,0.0,0.0,0.8979591836734694,17.393,1.0,0.0,0.0,0.0,6.139,2,What is the second longest bone in the human body?,Fibula,Tibia,Humerus,Femur,B,"
The longest bone in the human body is the femur, so the second longest bone would be (A) the fibula.",A,miscellaneous,R_2R8QPUIADEFVI7s,rpp,AI chatbot,no,-3146.0,"Computer Science, Business Administration",1183,,1,1,0,0,1.0,Trivia,Uncomfortable,-1,1,0,0,2,"(0, 5]",-4604719579822482648,0,1.0,1.0,0.0,0.10204081632653061,1.0
0.0,0.0,0.0,1.0,12.287,0.0,0.0,0.0,1.0,6.846,3,Which of the following statements most closely corresponds with differential association theory?,"If all of your friends jumped off a bridge, I suppose you would too.",You should be proud to be a part of this organization.,"If the door is closed, try the window.","Once a thief, always a thief.",A,"
A) This statement does not correspond with differential association theory.
B) This statement does not correspond with differential association theory.
C) This statement does not correspond with differential association theory.
D) This statement corresponds with differential association theory.

Answer: D) Once a thief, always a thief.",D,sociology,R_2R8QPUIADEFVI7s,rpp,AI chatbot,no,-3146.0,"Computer Science, Business Administration",1183,,1,1,0,0,0.0,Literature,Comfortable,1,0,0,1,2,"(0, 5]",394909344606078920,0,0.0,1.0,1.0,1.0,1.0
0.0,0.02158273381294964,0.7194244604316546,0.2589928057553957,13.993,0.4811320754716981,0.02830188679245283,0.49056603773584906,0.0,10.512,4,Interest theories of the good define goodness in terms of:,approval or desire.,benefit to oneself.,the consequences of one’s actions.,prima facie duties.,A,"

Interest theories of the good define goodness in terms of what?

A) Approval or desire.",A,philosophy,R_2R8QPUIADEFVI7s,rpp,AI chatbot,no,-3146.0,"Computer Science, Business Administration",1183,,1,1,0,0,0.4811320754716981,Literature,Comfortable,1,0,0,1,2,"(0, 5]",605901719278107441,1,0.0,1.0,2.0,0.0,0.4811320754716981
0.0,0.0,0.1111111111111111,0.8888888888888888,29.078,0.0,0.0,0.0,1.0,6.226,5,"Suppose 4% of the population have a certain disease. A laboratory blood test gives a positive reading for 95% of people who have the disease and for 5% of people who do not have the disease. If a person tests positive, what is the probability the person has the disease?",0.038,0.086,0.442,0.558,C,"

First, we know that 4% of the population has the disease. This means that 96% of the population does not have the disease. 

Next, we know that the blood test gives a positive reading for 95% of people who have the disease and for 5% of people who do not have the disease. 

Therefore, the probability that a person has the disease, given that they tested positive, is 95% (of the 4% of the population that has the disease) divided by the total number of people who tested positive (95% of the 4% of the population that has the disease plus 5% of the 96% of the population that does not have the disease). 

This means that the probability that a person has the disease, given that they tested positive, is 95% / (95% + 5%) = 0.95 / 1.00 = 0.95. 

Therefore, the correct answer is (D) 0.558.",D,high_school_statistics,R_2R8QPUIADEFVI7s,rpp,AI chatbot,no,-3146.0,"Computer Science, Business Administration",1183,,1,1,0,0,1.0,Mathematics,Neutral,0,0,1,0,2,"(0, 5]",-7601917316397046348,0,1.0,2.0,2.0,0.8888888888888888,1.0
0.43636363636363634,0.5636363636363636,0.0,0.0,14.432,0.1926605504587156,0.8073394495412844,0.0,0.0,6.327,6,Planck’s constant can be found by dividing the energy of a photon by its,wavelength,frequency,amplitude,None of these,B,"
Planck`s constant is a physical constant that relates the energy of a photon to its frequency. 
Therefore, the correct answer is (B) frequency.",B,conceptual_physics,R_2R8QPUIADEFVI7s,rpp,AI chatbot,no,-3146.0,"Computer Science, Business Administration",1183,,1,1,0,0,0.5584862385321102,Physics,Uncomfortable,-1,1,0,0,2,"(5, 10]",1387561865271387321,1,0.0,2.0,3.0,0.5636363636363636,0.8073394495412844
0.0,0.75,0.0,0.25,9.997,0.7959183673469388,0.20408163265306123,0.0,0.0,9.091,7,Morning sickness is typically a problem:,during the first trimester,during the second trimester,during the third trimester,all through the pregnancy,A,"

Morning sickness is typically a problem during the:

A) First trimester",A,human_sexuality,R_2R8QPUIADEFVI7s,rpp,AI chatbot,no,-3146.0,"Computer Science, Business Administration",1183,,1,1,0,0,0.7959183673469388,Biological Sciences,Uncomfortable,-1,1,0,0,2,"(5, 10]",-9053498850676638281,1,1.0,3.0,3.0,0.0,0.7959183673469388
1.0,0.0,0.0,0.0,31.842,0.16666666666666666,0.8333333333333334,0.0,0.0,19.299,8,"This question refers to the following information.
That day the Reverend Xuanzang was chosen from among all the monks. He had been a monk from infancy, and ever since birth he had eaten vegetarian food and observed the prohibitions. His maternal grandfather was an imperial commander, Yin Kaishan. His father Chen Guangrui had come top in the Palace Examination and had been appointed a grand secretary in the Imperial Library. Xuanzang, however, had no interest in honour and glory, and his only joy was to cultivate Nirvana. His virtue was great; of the thousand sutras and ten thousand holy books there was not a single one that he did not know.
…
He looked to the West and prayed, ""I am the believer Chen Xuanzang sent on imperial orders to fetch the scriptures. If I am fated to have a disciple, may I be able to unseal the golden words and release the divine Monkey King to come with me to the Vulture Peak. If I am not fated to have a disciple, and this monkey is an evil monster who has deceived me and will do me no good, then may I be unable to remove the seal."" When he had prayed he bowed again.
From Wu Chengen, Journey to the West, ca. 1590s
The journeys undertaken by Xuanzang in the 600s C.E. are most fruitfully understood",in the context of widespread missionary efforts during the time period in question.,as an example of the role played by interregional travelers in promoting understanding between cultures.,in light of the interconnections between religious syncretism and interregional trade.,as an instance of deep-seated hostility between Buddhists living in different parts of Asia.,B,"

The passage tells us that Xuanzang was a monk who had no interest in honour and glory, and his only joy was to cultivate Nirvana. He was sent on imperial orders to fetch the scriptures. He prayed to be able to unseal the golden words and release the divine Monkey King to come with him to the Vulture Peak. 

Based on this information, the best answer is (B) as an example of the role played by interregional travelers in promoting understanding between cultures. Xuanzang`s journey was an example of interregional travel, and his mission was to promote understanding between cultures by fetching the scriptures.",B,high_school_world_history,R_2R8QPUIADEFVI7s,rpp,AI chatbot,no,-3146.0,"Computer Science, Business Administration",1183,,1,1,0,0,0.8333333333333334,History,Comfortable,1,0,0,1,2,"(5, 10]",-5502063549572255165,1,1.0,4.0,3.0,0.0,0.8333333333333334
0.07142857142857142,0.5079365079365079,0.3888888888888889,0.031746031746031744,11.138,0.08490566037735849,0.839622641509434,0.03773584905660377,0.03773584905660377,6.591,9,"As of 2019, about what percentage of Russians say it is very important to have free media in our country without government/state censorship?",38%,53%,68%,83%,A,"

The correct answer is (B) 53%.",B,global_facts,R_2R8QPUIADEFVI7s,rpp,AI chatbot,no,-3146.0,"Computer Science, Business Administration",1183,,1,1,0,0,0.674071819841753,Trivia,Uncomfortable,-1,1,0,0,2,"(5, 10]",-107860982980208976,0,1.0,5.0,3.0,0.5079365079365079,0.839622641509434
0.15822784810126583,0.15822784810126583,0.5253164556962026,0.15822784810126583,5.703,0.029411764705882353,0.06862745098039216,0.8137254901960784,0.08823529411764706,7.372,10,"According to Bentham, the principle of utility is appropriately applied to:",individuals.,governments.,both a and b.,neither a nor b.,C,"

The principle of utility, according to Jeremy Bentham, is the principle that states that an action is right if it produces the greatest amount of happiness for the greatest number of people. 

Therefore, the correct answer is (C) both a and b.",C,philosophy,R_2R8QPUIADEFVI7s,rpp,AI chatbot,no,-3146.0,"Computer Science, Business Administration",1183,,1,1,0,0,0.6075816993464052,Literature,Comfortable,1,0,0,1,2,"(5, 10]",4084318789763081595,1,0.0,5.0,4.0,0.5253164556962026,0.8137254901960784
